         1155632 function calls (1090830 primitive calls) in 1.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.683    1.683 C:\Users\UserA\projects\githubProjects\Python\PythonCPUBench\Graph.py:128(iterative_dfs_numba_wrapper)
        1    0.000    0.000    1.683    1.683 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:402(_compile_for_args)
     29/1    0.001    0.000    1.683    1.683 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:929(compile)
      9/1    0.000    0.000    1.682    1.682 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:140(compile)
      9/1    0.000    0.000    1.682    1.682 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:147(_compile_cached)
      9/1    0.001    0.000    1.682    1.682 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:162(_compile_core)
      9/1    0.000    0.000    1.682    1.682 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:660(compile_extra)
      9/1    0.000    0.000    1.681    1.681 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:422(compile_extra)
      9/1    0.000    0.000    1.680    1.680 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:487(_compile_bytecode)
      9/1    0.000    0.000    1.680    1.680 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:445(_compile_core)
      9/1    0.001    0.000    1.679    1.679 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_machinery.py:320(run)
   216/24    0.001    0.000    1.678    0.070 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
   216/24    0.005    0.000    1.677    0.070 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_machinery.py:257(_runPass)
   648/72    0.001    0.000    1.676    0.023 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_machinery.py:261(check)
      9/4    0.001    0.000    1.423    0.356 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:365(run_pass)
   187/42    0.011    0.000    1.059    0.025 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\types\functions.py:281(get_call_type)
  790/215    0.002    0.000    1.049    0.005 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\templates.py:349(apply)
  228/101    0.002    0.000    1.043    0.010 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\templates.py:598(generic)
  228/101    0.002    0.000    1.038    0.010 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\templates.py:689(_get_impl)
    21/14    0.000    0.000    1.028    0.073 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\templates.py:747(_build_impl)
    28/12    0.000    0.000    1.028    0.086 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\types\functions.py:548(get_call_type)
    28/12    0.000    0.000    1.027    0.086 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:362(get_call_template)
      9/4    0.000    0.000    0.952    0.238 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:133(lower)
      9/3    0.000    0.000    0.950    0.317 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:98(run_pass)
      9/3    0.000    0.000    0.950    0.317 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:61(type_inference_stage)
      9/3    0.000    0.000    0.943    0.314 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:1055(propagate)
     19/7    0.002    0.000    0.942    0.135 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:141(propagate)
   177/55    0.003    0.000    0.930    0.017 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:568(resolve)
   174/52    0.001    0.000    0.926    0.018 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:1503(resolve_call)
   192/52    0.000    0.000    0.926    0.018 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:188(resolve_function_type)
   192/52    0.001    0.000    0.925    0.018 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:232(_resolve_user_function_type)
      9/4    0.000    0.000    0.851    0.213 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:184(lower_normal_function)
      9/4    0.000    0.000    0.848    0.212 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:201(lower_function_body)
    41/19    0.003    0.000    0.847    0.045 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:225(lower_block)
  480/194    0.004    0.000    0.843    0.004 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:374(lower_inst)
   214/83    0.001    0.000    0.816    0.010 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:546(lower_assign)
   104/46    0.001    0.000    0.809    0.018 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1058(lower_expr)
    96/32    0.000    0.000    0.786    0.025 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:1193(__call__)
    96/32    0.000    0.000    0.785    0.025 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:1222(wrapper)
