         1285522 function calls (1208653 primitive calls) in 1.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.803    1.803 C:/Users/UserA/projects/githubProjects/PythonNumba/main.py:148(func_1_wrapper)
        1    0.000    0.000    1.803    1.803 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:337(_compile_for_args)
    266/1    0.001    0.000    1.791    1.791 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_lock.py:29(_acquire_compile_lock)
     30/1    0.000    0.000    1.791    1.791 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:784(compile)
     11/1    0.000    0.000    1.791    1.791 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:77(compile)
     11/1    0.000    0.000    1.791    1.791 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:84(_compile_cached)
     11/1    0.000    0.000    1.791    1.791 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:99(_compile_core)
     11/1    0.000    0.000    1.791    1.791 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:577(compile_extra)
     11/1    0.000    0.000    1.623    1.623 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:326(compile_extra)
     11/1    0.000    0.000    1.623    1.623 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:396(_compile_bytecode)
     11/1    0.000    0.000    1.623    1.623 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:356(_compile_core)
     11/1    0.001    0.000    1.622    1.622 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_machinery.py:318(run)
   236/22    0.006    0.000    1.621    0.074 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_machinery.py:259(_runPass)
   702/66    0.001    0.000    1.619    0.025 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_machinery.py:263(check)
     11/1    0.000    0.000    1.441    1.441 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:85(run_pass)
     11/1    0.000    0.000    1.441    1.441 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:50(type_inference_stage)
     11/1    0.000    0.000    1.438    1.438 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:975(propagate)
     22/2    0.003    0.000    1.438    0.719 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:142(propagate)
